,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
188,188,20200818,LT,OB,0,B,36,34,2,2,6,0,1,1,0,0,0,0,2,0.0,0,7,0,0,15,0.0,7,0
189,189,20200818,HH,SK,0,T,43,32,3,3,6,2,0,0,0,0,0,0,7,0.0,4,16,0,0,32,0.235294118,17,4
190,190,20200818,SS,KT,0,B,37,32,2,3,6,3,0,0,0,0,1,1,3,0.0,1,6,1,1,16,0.222222222,9,2
191,191,20200818,WO,NC,0,T,35,34,1,1,7,0,0,0,1,0,0,0,0,0.0,1,6,0,0,14,0.333333333,3,1
192,192,20200818,HT,LG,0,T,46,40,5,5,11,2,0,0,0,0,1,0,5,0.0,0,8,0,0,20,0.333333333,9,3
193,193,20200818,NC,WO,0,B,32,27,5,5,7,3,0,1,0,0,2,1,2,0.0,1,4,1,1,8,0.6,5,3
194,194,20200818,KT,SS,0,T,42,33,5,6,9,1,0,1,0,0,1,1,8,0.0,0,7,0,0,16,0.3,10,3
195,195,20200818,LG,HT,0,B,40,37,6,6,12,1,0,2,1,0,1,1,2,0.0,0,13,2,2,16,0.4,5,2
196,196,20200818,OB,LT,0,T,50,43,7,9,16,2,0,0,1,0,1,1,3,0.0,2,10,0,0,32,0.25,16,4
197,197,20200818,SK,HH,0,B,40,31,8,9,8,2,0,2,0,0,2,1,5,0.0,2,4,0,0,16,0.222222222,9,2
198,198,20200819,HH,SK,0,T,43,40,5,6,12,2,0,2,0,0,0,0,3,0.0,0,8,0,0,29,0.2,15,3
199,199,20200819,NC,WO,0,B,40,36,4,4,7,1,0,1,0,0,0,0,4,0.0,0,7,0,0,20,0.111111111,9,1
