,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,HIT,H2,H3,HR,SB,CS,BB,IB,KK,WP,BK,R,ER
67,20200811,SS,OB,0,B,0,L,0.0,27.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6,6
68,20200811,SK,KT,0,T,0,L,0.0,24.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,6,6
70,20200812,LG,HT,0,B,0,W,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,0,0
71,20200812,SK,KT,0,T,0,W,2.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2,1
72,20200812,WO,HH,0,B,0,W,0.0,30.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,8.0,1.0,0.0,2,2
73,20200812,LT,NC,0,B,0,W,0.0,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4,4
74,20200812,OB,SS,0,T,0,W,0.0,27.0,16.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,8,8
75,20200812,HH,WO,0,T,0,L,0.0,27.299999999999997,9.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,3,3
76,20200812,HT,LG,0,T,0,L,0.0,24.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,8,8
77,20200812,NC,LT,0,T,0,L,0.0,24.0,13.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,8,8
78,20200812,KT,SK,0,B,0,L,0.0,27.0,12.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,11,11
79,20200812,SS,OB,0,B,0,L,0.0,27.0,24.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15,15
80,20200813,LG,HT,0,B,0,W,1.0,27.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2,1
81,20200813,SS,OB,0,B,0,W,3.0,27.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,2,2
82,20200813,NC,LT,0,T,0,W,0.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2,2
83,20200813,WO,HH,0,B,0,W,2.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,3,3
84,20200813,SK,KT,0,T,0,W,0.0,27.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.0,6,6
85,20200813,OB,SS,0,T,0,L,0.0,24.0,9.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,3,3
86,20200813,HT,LG,0,T,0,L,0.0,24.0,8.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,4,4
87,20200813,HH,WO,0,T,0,L,0.0,24.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6,6
88,20200813,LT,NC,0,B,0,L,0.0,27.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,9,9
