G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER
20200807SKSS0,20200807,SK,SS,0,B,0,L,0.0,27.0,147,36,29,6.0,1.0,0.0,1.0,2.0,2.0,1,0,4.0,0.0,2.0,7.0,1,1.0,0.0,1,2,2
20200807OBLT0,20200807,OB,LT,0,B,0,L,1.0,27.0,194,49,39,12.0,2.0,0.0,2.0,0.0,0.0,1,1,8.0,0.0,1.0,6.0,1,1.0,0.0,1,8,5
20200807WOLG0,20200807,WO,LG,0,B,0,L,0.0,27.0,158,39,36,10.0,0.0,1.0,1.0,0.0,0.0,1,1,2.0,0.0,0.0,10.0,1,0.0,0.0,1,5,5
20200808LTOB0,20200808,LT,OB,0,T,1,D,0.0,15.0,52,16,16,3.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,1,1
20200808OBLT0,20200808,OB,LT,0,B,1,D,0.0,18.0,88,24,22,6.0,1.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,6.0,1,0.0,0.0,1,1,1
20200808LGWO0,20200808,LG,WO,0,T,0,L,0.0,24.0,132,35,32,9.0,1.0,0.0,1.0,1.0,0.0,0,0,3.0,0.0,0.0,7.0,1,1.0,0.0,1,5,5
20200808NCHT0,20200808,NC,HT,0,T,0,L,0.0,24.0,122,28,28,4.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,9.0,0,0.0,0.0,0,3,3
20200808SKSS0,20200808,SK,SS,0,B,1,W,0.0,15.0,66,19,17,5.0,1.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,1.0,0,0.0,0.0,0,2,2
20200808WOLG0,20200808,WO,LG,0,B,0,W,0.0,27.0,128,35,32,8.0,2.0,0.0,1.0,0.0,0.0,0,0,3.0,0.0,0.0,4.0,0,0.0,0.0,0,1,1
20200808SSSK0,20200808,SS,SK,0,T,1,L,0.0,15.0,80,22,19,3.0,2.0,1.0,0.0,0.0,0.0,0,0,2.0,0.0,1.0,0.0,0,0.0,0.0,0,4,2
20200808HTNC0,20200808,HT,NC,0,B,0,W,1.0,27.0,160,40,31,6.0,1.0,2.0,0.0,2.0,1.0,0,0,7.0,0.0,2.0,6.0,1,0.0,0.0,1,2,2
20200809NCHT0,20200809,NC,HT,0,T,0,W,0.0,27.0,179,41,32,4.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,0.0,0.0,7.0,0,1.0,0.0,0,1,1
20200809WOLG0,20200809,WO,LG,0,B,0,W,2.0,27.0,116,31,30,4.0,2.0,0.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,8.0,1,0.0,0.0,1,1,1
20200809KTHH0,20200809,KT,HH,0,T,0,W,3.0,27.0,170,38,34,8.0,1.0,0.0,1.0,0.0,0.0,1,1,3.0,0.0,0.0,12.0,1,1.0,0.0,1,3,2
