,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
91,91,2020-08-04,SK,롯데,0,B,33,31,0,0,6,1,0,0,0,0,0,0,2,0,0,6,1,1,12,0,3,0
92,92,2020-08-05,Hero,KT,0,B,46,40,12,12,15,2,0,1,0,0,0,0,5,0,1,7,0,0,30,2.125,17,8
93,93,2020-08-05,한화,NC,0,B,43,33,6,8,12,2,0,1,0,0,3,2,5,0,2,5,2,2,17,0.25,12,3
94,94,2020-08-05,LG,KIA,0,T,41,35,6,6,11,3,0,2,0,0,1,0,5,0,0,10,2,2,15,0.3,10,3
95,95,2020-08-05,KT,키움,0,T,36,34,3,3,10,1,0,1,0,0,0,0,1,0,1,3,1,1,10,0.285714286,7,2
96,96,2020-08-05,KIA,LG,0,B,38,35,4,4,9,1,0,0,1,0,1,0,2,0,0,11,0,0,13,0.5,6,3
97,97,2020-08-05,NC,한화,0,T,43,30,5,5,6,0,1,0,0,0,2,1,9,1,2,4,1,1,18,0.181818182,11,2
98,98,2020-08-05,삼성,두산,0,T,40,34,2,2,12,2,0,0,1,0,2,0,4,2,0,4,1,1,22,0.166666667,12,2
99,99,2020-08-05,두산,삼성,0,B,32,28,2,2,4,0,0,0,1,0,0,0,3,0,1,4,0,0,14,0,6,0
100,100,2020-08-06,KIA,LG,0,B,42,35,13,13,12,3,0,4,2,0,0,0,6,0,1,8,1,1,17,0.384615385,13,5
101,101,2020-08-06,Hero,KT,0,B,35,28,3,3,7,2,0,1,1,0,2,1,5,1,0,4,1,1,15,0.470588235,8,0
102,102,2020-08-06,NC,한화,0,T,39,32,4,4,8,1,0,2,0,0,0,0,7,0,0,4,1,1,17,0.142857143,7,1
103,103,2020-08-06,두산,삼성,0,B,36,31,5,5,7,1,1,0,0,0,1,0,4,0,0,7,0,0,15,0.230769231,13,3
104,104,2020-08-06,롯데,SK,0,B,39,33,8,8,6,0,0,2,0,0,0,0,4,0,2,6,0,0,10,0,2,0
105,105,2020-08-06,삼성,두산,0,T,40,38,2,2,11,0,0,0,3,0,0,0,2,0,0,7,0,0,24,0.1,10,1
106,106,2020-08-06,SK,롯데,0,T,35,33,2,2,8,1,0,1,0,0,1,1,1,0,0,8,1,1,13,0.4,5,2
107,107,2020-08-06,한화,NC,0,B,34,29,1,1,5,0,0,0,0,0,1,0,4,0,0,6,1,1,11,0.2,5,1
108,108,2020-08-06,LG,KIA,0,T,30,28,1,1,4,0,0,0,0,0,1,1,1,0,0,7,0,0,2,#DIV/0!,0,0
109,109,2020-08-06,KT,키움,0,T,34,32,2,2,4,1,0,1,1,0,0,0,2,0,0,9,0,0,12,0,7,0
110,110,2020-08-07,롯데,두산,0,T,49,39,7,8,12,2,0,2,0,0,1,1,8,0,1,6,1,1,32,0.133333333,15,2
111,111,2020-08-07,LG,키움,0,T,39,36,5,5,10,0,1,1,0,0,1,1,2,0,0,10,1,1,17,0.25,8,2
112,112,2020-08-07,삼성,SK,0,T,36,29,2,2,6,1,0,1,2,0,1,0,4,0,2,7,1,1,12,0.2,5,1
